logged_at,event_date,supplier_id,supplier_name,category_id,category_name,signal_type,severity,confidence,base_risk_score,source_type,source_title,source_url,signal_text,llm_reason,recommended_action
2026-03-23 13:08:46,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,Low,High,3,seed_page,Home | ASE Holdings,https://www.aseglobal.com,ASE announced a NT$17.8 billion groundbreaking for a new high-tech facility in Kaohsiung in March 2026 targeting AI chip demand.,"ASE is breaking ground on a NT$17.8 billion facility in Kaohsiung to meet AI chip demand, signaling positive capacity growth relevant to chip module supply.",Monitor construction timeline and confirm allocation commitments to ensure expanded capacity aligns with your chip module procurement roadmap.
2026-03-23 13:08:46,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,Medium,High,6,discovered_link,Plants & Offices | ASE Holdings,https://www.aseglobal.com/plants-offices,ASE operates at least six manufacturing sites across mainland China in addition to its primary Taiwan and global facilities.,"ASE's extensive manufacturing footprint includes multiple facilities in China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou), creating geopolitical and trade-restriction concentration risk for chip module supply.",Assess the share of chip module production sourced from China-based ASE facilities and develop contingency sourcing plans in case of trade disruptions.
2026-03-23 13:08:46,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,esg_compliance,Low,High,3,discovered_link,ESG | ASE Holdings,https://www.aseglobal.com/csr,"ASE reports 100% DRC conflict-free products, SBTi-validated 2030/2050 targets, and has adopted IFRS Sustainability Disclosure Standards as of 2024.","ASE demonstrates strong ESG performance including SBTi-validated emissions targets, 100% DRC conflict-free products, and IFRS sustainability disclosure adoption, reducing compliance risk for buyers.",Leverage ASE's ESG documentation and conflict-mineral certifications to satisfy your own supply chain due diligence and reporting requirements.
2026-03-23 13:08:46,2026-03-23,SUP016,ATI,CAT004,Titanium,supply_capacity,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,"ATI brought online a new titanium alloy sheet facility in South Carolina, introduced a new 12,500-ton billet press, and extended/expanded titanium supply agreements with both Boeing and Airbus.","ATI has expanded titanium production capacity (new Pageland, SC facility, 12,500-ton billet press) and secured long-term agreements with Boeing and Airbus, positively reinforcing supply continuity for titanium buyers.",Leverage ATI's expanded capacity and long-term agreements to negotiate favorable pricing or volume commitments aligned with your titanium demand forecast.
2026-03-23 13:08:46,2026-03-23,SUP016,ATI,CAT004,Titanium,financial,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,ATI reported Q4 2025 sales of $1.2B and net income of $97M; outgoing CFO Don Newman retires March 2026 with Rob Foster named as successor effective January 2026.,"ATI reported consistent quarterly revenues around $1.1–1.2 billion with positive net income throughout 2025, indicating financial stability, though a CFO retirement and replacement effective January 2026 introduces minor transition risk.",Monitor ATI's Q1 2026 earnings call for any guidance changes or financial strategy shifts under the new CFO.
2026-03-23 13:08:46,2026-03-23,SUP016,ATI,CAT004,Titanium,general_news,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,"ATI employees ratified a new six-year labor agreement with the United Steelworkers, eliminating strike risk for an extended period.",A new six-year labor agreement ratified with the United Steelworkers (USW) significantly reduces near-term labor disruption risk for titanium production operations.,Note the six-year USW labor agreement as a positive supply continuity factor when assessing ATI's reliability as a titanium supplier through 2030+.
2026-03-23 13:34:13,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,Low,High,3,seed_page,Home | ASE Holdings,https://www.aseglobal.com,ASE announced a NT$17.8 billion groundbreaking in Kaohsiung for AI chip demand and a second Vietnam plant expansion for optical transceiver manufacturing as of early 2026.,"ASE is breaking ground on a NT$17.8 billion high-tech facility in Kaohsiung and expanding optical transceiver manufacturing in Vietnam, signaling strong capacity investment aligned with AI chip demand relevant to Chip Modules category.",Monitor capacity ramp timelines to assess whether new facilities can meet projected demand commitments and identify any construction or ramp-up delays.
2026-03-23 13:34:13,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,Medium,High,6,discovered_link,Plants & Offices | ASE Holdings,https://www.aseglobal.com/plants-offices,"ASE operates multiple plants across Taiwan and China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou), with additional sites in Korea, Malaysia, Philippines, and Vietnam providing partial diversification.","ASE's manufacturing footprint is heavily concentrated in Taiwan and China, creating geopolitical and trade disruption risk for Chip Modules supply continuity.",Assess dual-sourcing or geographic diversification options given the concentration of critical packaging and test capacity in Taiwan and mainland China.
2026-03-23 13:34:13,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,Low,High,3,discovered_link,Press Room | ASE Holdings,https://www.aseglobal.com/press-room,"ASE announced FOCoS-Bridge with TSV reducing power loss by 3x for AI/HPC, CPO for AI energy efficiency, and multiple facility groundbreakings between late 2024 and early 2026.","Multiple press releases confirm active advanced packaging technology development (FOCoS-Bridge with TSV, CPO) and facility expansions, indicating ASE is investing to remain competitive in next-generation Chip Modules.",Engage ASE on technology roadmap alignment to ensure their advanced packaging capabilities meet future Chip Module design requirements.
2026-03-23 13:34:13,2026-03-23,SUP021,ASE Technology,CAT005,Chip Modules,esg_compliance,Low,High,3,discovered_link,ESG | ASE Holdings,https://www.aseglobal.com/csr,"ASE reports 100% DRC conflict-free products, SBTi-validated 2030/2050 targets, 19.2% renewable energy usage, and adoption of IFRS Sustainability Disclosure Standards as of 2024.","ASE demonstrates strong ESG posture with SBTi-validated emissions targets, 100% DRC conflict-free products, and IFRS sustainability disclosure adoption, reducing compliance risk for Chip Modules procurement.",Leverage ASE's ESG reporting and conflict minerals compliance documentation to satisfy internal supplier sustainability audit requirements.
2026-03-23 13:34:13,2026-03-23,SUP016,ATI,CAT004,Titanium,supply_capacity,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,"ATI brought online a new titanium alloy sheet facility in South Carolina, introduced a new 12,500-ton billet press, and extended/expanded titanium supply agreements with both Boeing and Airbus.","ATI has expanded titanium production capacity (new Pageland, SC facility and 12,500-ton billet press) and secured long-term agreements with Boeing and Airbus, reducing supply disruption risk for titanium buyers.",Leverage ATI's expanded capacity and long-term agreements to negotiate favorable pricing and volume commitments; monitor ramp-up execution at the new Pageland facility.
2026-03-23 13:34:13,2026-03-23,SUP016,ATI,CAT004,Titanium,financial,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,"ATI reported Q1–Q4 2025 sales ranging from $1.13B to $1.2B with net income of $97M–$119M per quarter, while CFO Don Newman announced retirement effective March 1, 2026, with Rob Foster named successor.","ATI reported consistent quarterly revenues of approximately $1.1–1.2 billion with positive net income throughout 2025, indicating financial stability; however, a CFO retirement and new CFO appointment introduces short-term leadership transition risk.",Monitor ATI's Q4 2025 earnings call and any guidance changes under the new CFO; no immediate action required given stable financials.
2026-03-23 13:34:13,2026-03-23,SUP016,ATI,CAT004,Titanium,general_news,Low,High,3,seed_page,ATI: Proven to perform.,https://www.atimaterials.com,"ATI employees ratified a new six-year labor agreement with the United Steelworkers, providing labor stability through approximately 2031.",A new six-year labor agreement ratified with the United Steelworkers (USW) significantly reduces near-term labor disruption risk for titanium production continuity.,No immediate action required; document the six-year USW agreement as a positive supply continuity factor in supplier risk assessments.
